code,description
250.83,DMI oth uncntrld
276,Disorders of fluid electrolyte and acid-base balance
648,Other current conditions in the mother classifiable elsewhere but complicating pregnancy childbirth or the puerperium
197,Secondary malignant neoplasm of respiratory and digestive systems
414,Other forms of chronic ischemic heart disease
428,Heart failure
398,Other rheumatic heart disease
434,Occlusion of cerebral arteries
250.7,Diabetes with peripheral circulatory disorders
157,Malignant neoplasm of pancreas
518,Other diseases of lung
999,Complications of medical care not elsewhere classified
410,Acute myocardial infarction
682,Other cellulitis and abscess
402,Hypertensive heart disease
737,Curvature of spine
572,Liver abscess and sequelae of chronic liver disease
V57,Care involving use of rehabilitation procedures
189,Malignant neoplasm of kidney and other and unspecified urinary organs
786,Symptoms involving respiratory system and other chest symptoms
427,Cardiac dysrhythmias
996,Complications peculiar to certain specified procedures
277,Other and unspecified disorders of metabolism
584,Acute kidney failure
462,Acute pharyngitis
473,Chronic sinusitis
411,Other acute and subacute forms of ischemic heart disease
174,Malignant neoplasm of female breast
486,"Pneumonia, organism unspecified"
998,Other complications of procedures not elsewhere classified
511,Pleurisy
432,Other and unspecified intracranial hemorrhage
626,Disorders of menstruation and other abnormal bleeding from female genital tract
295,Schizophrenic disorders
196,Secondary and unspecified malignant neoplasm of lymph nodes
250.6,Diabetes with neurological manifestations
618,Genital prolapse
182,Malignant neoplasm of body of uterus
845,Sprains and strains of ankle and foot
423,Other diseases of pericardium
808,Fracture of pelvis
250.4,Diabetes with renal manifestations
722,Intervertebral disc disorders
403,Hypertensive chronic kidney disease
250.11,DMI keto nt st uncntrld
784,Symptoms involving head and neck
707,Chronic ulcer of skin
440,Atherosclerosis
151,Malignant neoplasm of stomach
715,Osteoarthrosis and allied disorders
997,Complications affecting specified body system not elsewhere classified
198,Secondary malignant neoplasm of other specified sites
564,Functional digestive disorders not elsewhere classified
812,Fracture of humerus
590,Infections of kidney
556,Ulcerative enterocolitis
578,Gastrointestinal hemorrhage
250.32,DMII oth coma uncontrold
433,Occlusion and stenosis of precerebral arteries
V58,Encounter for other and unspecified procedures and aftercare
569,Other disorders of intestine
185,Malignant neoplasm of prostate
536,Disorders of function of stomach
255,Disorders of adrenal glands
250.13,DMI ketoacd uncontrold
599,Other disorders of urethra and urinary tract
558,Other and unspecified noninfectious gastroenteritis and colitis
574,Cholelithiasis
491,Chronic bronchitis
560,Intestinal obstruction without mention of hernia
244,Acquired hypothyroidism
250.03,DMI wo cmp uncntrld
577,Diseases of pancreas
730,Osteomyelitis periostitis and other infections involving bone
188,Malignant neoplasm of bladder
824,Fracture of ankle
250.8,Diabetes with other specified manifestations
332,Parkinson's disease
562,Diverticula of intestine
291,Alcohol-induced mental disorders
296,Episodic mood disorders
510,Empyema
401,Essential hypertension
263,Other and unspecified protein-calorie malnutrition
438,Late effects of cerebrovascular disease
250.02,DMII wo cmp uncntrld
493,Asthma
642,Hypertension complicating pregnancy childbirth and the puerperium
625,Pain and other symptoms associated with female genital organs
571,Chronic liver disease and cirrhosis
738,Other acquired musculoskeletal deformity
593,Other disorders of kidney and ureter
250.42,DMII renal uncntrld
807,Fracture of rib(s) sternum larynx and trachea
456,Varicose veins of other sites
446,Polyarteritis nodosa and allied conditions
575,Other disorders of gallbladder
250.41,DMI renl nt st uncntrld
820,Fracture of neck of femur
515,Postinflammatory pulmonary fibrosis
780,General symptoms
250.22,DMII hprosmlr uncontrold
995,Certain adverse effects not elsewhere classified
235,Neoplasm of uncertain behavior of digestive and respiratory systems
250.82,DMII oth uncntrld
721,Spondylosis and allied disorders
787,Symptoms involving digestive system
162,Malignant neoplasm of trachea bronchus and lung
724,Other and unspecified disorders of back
282,Hereditary hemolytic anemias
514,Pulmonary congestion and hypostasis
V55,Attention to artificial openings
281,Other deficiency anemias
250.33,DMI oth coma uncontrold
530,Diseases of esophagus
466,Acute bronchitis and bronchiolitis
435,Transient cerebral ischemia
250.12,DMII ketoacd uncontrold
V53,Fitting and adjustment of other device
789,Other symptoms involving abdomen and pelvis
566,Abscess of anal and rectal regions
822,Fracture of patella
191,Malignant neoplasm of brain
557,Vascular insufficiency of intestine
733,Other disorders of bone and cartilage
455,Hemorrhoids
711,Arthropathy associated with infections
482,Other bacterial pneumonia
202,Other malignant neoplasms of lymphoid and histiocytic tissue
280,Iron deficiency anemias
553,Other hernia of abdominal cavity without mention of obstruction or gangrene
225,Benign neoplasm of brain and other parts of nervous system
154,Malignant neoplasm of rectum rectosigmoid junction and anus
441,Aortic aneurysm and dissection
250.81,DMI oth nt st uncntrld
349,Other and unspecified disorders of the nervous system
962,Poisoning by hormones and synthetic substitutes
592,Calculus of kidney and ureter
507,Pneumonitis due to solids and liquids
386,Vertiginous syndromes and other disorders of vestibular system
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts
200,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue
728,Disorders of muscle ligament and fascia
348,Other conditions of brain
459,Other disorders of circulatory system
426,Conduction disorders
388,Other disorders of ear
607,Disorders of penis
337,Disorders of the autonomic nervous system
531,Gastric ulcer
596,Other disorders of bladder
288,Diseases of white blood cells
656,Other known or suspected fetal and placental problems affecting management of mother
573,Other disorders of liver
492,Emphysema
220,Benign neoplasm of ovary
516,Other alveolar and parietoalveolar pneumonopathy
210,Benign neoplasm of lip oral cavity and pharynx
922,Contusion of trunk
286,Coagulation defects
885,Traumatic amputation of thumb (complete) (partial)
958,Certain early complications of trauma
661,Abnormality of forces of labor
969,Poisoning by psychotropic agents
250.93,DMI unspf uncntrld
227,Benign neoplasm of other endocrine glands and related structures
112,Candidiasis
404,Hypertensive heart and chronic kidney disease
823,Fracture of tibia and fibula
532,Duodenal ulcer
416,Chronic pulmonary heart disease
346,Migraine
535,Gastritis and duodenitis
453,Other venous embolism and thrombosis
250,Diabetes mellitus
595,Cystitis
211,Benign neoplasm of other parts of digestive system
303,Alcohol dependence syndrome
250.01,DMI wo cmp nt st uncntrl
852,Subarachnoid subdural and extradural hemorrhage following injury
218,Uterine leiomyoma
782,Symptoms involving skin and other integumentary tissue
540,Acute appendicitis
457,Noninfectious disorders of lymphatic channels
285,Other and unspecified anemias
431,Intracerebral hemorrhage
340,Multiple sclerosis
550,Inguinal hernia
351,Facial nerve disorders
601,Inflammatory diseases of prostate
723,Other disorders of cervical region
555,Regional enteritis
153,Malignant neoplasm of colon
443,Other peripheral vascular disease
380,Disorders of external ear
204,Lymphoid leukemia
424,Other diseases of endocardium
241,Nontoxic nodular goiter
358,Myoneural disorders
694,Bullous dermatoses
331,Other cerebral degenerations
345,Epilepsy and recurrent seizures
681,Cellulitis and abscess of finger and toe
447,Other disorders of arteries and arterioles
290,Dementias
158,Malignant neoplasm of retroperitoneum and peritoneum
579,Intestinal malabsorption
436,"Acute, but ill-defined, cerebrovascular disease"
335,Anterior horn cell disease
309,Adjustment reaction
654,Abnormality of organs and soft tissues of pelvis
805,Fracture of vertebral column without mention of spinal cord injury
799,Other ill-defined and unknown causes of morbidity and mortality
292,Drug-induced mental disorders
183,Malignant neoplasm of ovary and other uterine adnexa
851,Cerebral laceration and contusion
458,Hypotension
586,"Renal failure, unspecified"
311,"Depressive disorder, not elsewhere classified"
892,Open wound of foot except toe(s) alone
305,Nondependent abuse of drugs
293,Transient mental disorders due to conditions classified elsewhere
415,Acute pulmonary heart disease
591,Hydronephrosis
794,Nonspecific abnormal results of function studies
803,Other and unqualified skull fractures
655,Known or suspected fetal abnormality affecting management of mother
429,Ill-defined descriptions and complications of heart disease
278,"Overweight, obesity and other hyperalimentation"
658,Other problems associated with amniotic cavity and membranes
598,Urethral stricture
729,Other disorders of soft tissues
585,Chronic kidney disease (ckd)
444,Arterial embolism and thrombosis
604,Orchitis and epididymitis
727,Other disorders of synovium tendon and bursa
214,Lipoma
552,Other hernia of abdominal cavity with obstruction but without mention of gangrene
284,Aplastic anemia and other bone marrow failure syndromes
680,Carbuncle and furuncle
708,Urticaria
644,Early or threatened labor
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
821,Fracture of other and unspecified parts of femur
413,Angina pectoris
437,Other and ill-defined cerebrovascular disease
968,Poisoning by other central nervous system depressants and anesthetics
756,Other congenital musculoskeletal anomalies
632,Missed abortion
359,Muscular dystrophies and other myopathies
275,Disorders of mineral metabolism
512,Pneumothorax and air leak
781,Symptoms involving nervous and musculoskeletal systems
420,Acute pericarditis
368,Visual disturbances
522,Diseases of pulp and periapical tissues
294,Persistent mental disorders due to conditions classified elsewhere
825,Fracture of one or more tarsal and metatarsal bones
135,Sarcoidosis
304,Drug dependence
320,Bacterial meningitis
250.31,DMI o cm nt st uncntrld
669,Other complications of labor and delivery not elsewhere classified
868,Injury to other intra-abdominal organs
496,"Chronic airway obstruction, not elsewhere classified"
250.43,DMI renal uncntrld
826,Fracture of one or more phalanges of foot
567,Peritonitis and retroperitoneal infections
203,Multiple myeloma and immunoproliferative neoplasms
251,Other disorders of pancreatic internal secretion
565,Anal fissure and fistula
161,Malignant neoplasm of larynx
495,Extrinsic allergic alveolitis
250.1,Diabetes with ketoacidosis
297,Delusional disorders
663,Umbilical cord complications during labor and delivery
576,Other disorders of biliary tract
355,Mononeuritis of lower limb and unspecified site
850,Concussion
287,Purpura and other hemorrhagic conditions
250.2,Diabetes with hyperosmolarity
611,Other disorders of breast
840,Sprains and strains of shoulder and upper arm
350,Trigeminal nerve disorders
726,Peripheral enthesopathies and allied syndromes
537,Other disorders of stomach and duodenum
620,Noninflammatory disorders of ovary fallopian tube and broad ligament
180,Malignant neoplasm of cervix uteri
366,Cataract
783,Symptoms concerning nutrition metabolism and development
751,Other congenital anomalies of digestive system
716,Other and unspecified arthropathies
250.3,Diabetes with other coma
199,Malignant neoplasm without specification of site
464,Acute laryngitis and tracheitis
580,Acute glomerulonephritis
836,Dislocation of knee
664,Trauma to perineum and vulva during delivery
283,Acquired hemolytic anemias
813,Fracture of radius and ulna
966,Poisoning by anticonvulsants and anti-parkinsonism drugs
289,Other diseases of blood and blood-forming organs
965,Poisoning by analgesics antipyretics and antirheumatics
184,Malignant neoplasm of other and unspecified female genital organs
480,Viral pneumonia
608,Other disorders of male genital organs
333,Other extrapyramidal disease and abnormal movement disorders
972,Poisoning by agents primarily affecting the cardiovascular system
212,Benign neoplasm of respiratory and intrathoracic organs
117,Other mycoses
788,Symptoms involving urinary system
924,Contusion of lower limb and of other and unspecified sites
959,Injury other and unspecified
621,Disorders of uterus not elsewhere classified
238,Neoplasm of uncertain behavior of other and unspecified sites and tissues
785,Symptoms involving cardiovascular system
714,Rheumatoid arthritis and other inflammatory polyarthropathies
942,Burn of trunk
250.23,DMI hprosmlr uncontrold
710,Diffuse diseases of connective tissue
933,Foreign body in pharynx and larynx
508,Respiratory conditions due to other and unspecified external agents
478,Other diseases of upper respiratory tract
844,Sprains and strains of knee and leg
736,Other acquired deformities of limbs
233,Carcinoma in situ of breast and genitourinary system
250.5,Diabetes with ophthalmic manifestations
397,Diseases of other endocardial structures
395,Diseases of aortic valve
201,Hodgkin's disease
421,Acute and subacute endocarditis
253,Disorders of the pituitary gland and its hypothalamic control
250.92,DMII unspf uncntrld
600,Hyperplasia of prostate
494,Bronchiectasis
977,Poisoning by other and unspecified drugs and medicinal substances
659,Other indications for care or intervention related to labor and delivery not elsewhere classified
312,Disturbance of conduct not elsewhere classified
614,Inflammatory disease of ovary fallopian tube pelvic cellular tissue and peritoneum
647,Infectious and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy childbirth or the puerperium
652,Malposition and malpresentation of fetus
646,Other complications of pregnancy not elsewhere classified
274,Gout
861,Injury to heart and lung
425,Cardiomyopathy
527,Diseases of the salivary glands
451,Phlebitis and thrombophlebitis
485,"Bronchopneumonia, organism unspecified"
217,Benign neoplasm of breast
250.53,DMI ophth uncntrld
442,Other aneurysm
970,Poisoning by central nervous system stimulants
193,Malignant neoplasm of thyroid gland
160,Malignant neoplasm of nasal cavities middle ear and accessory sinuses
322,Meningitis of unspecified cause
581,Nephrotic syndrome
475,Peritonsillar abscess
623,Noninflammatory disorders of vagina
374,Other disorders of eyelids
582,Chronic glomerulonephritis
568,Other disorders of peritoneum
465,Acute upper respiratory infections of multiple or unspecified sites
801,Fracture of base of skull
237,Neoplasm of uncertain behavior of endocrine glands and nervous system
376,Disorders of the orbit
150,Malignant neoplasm of esophagus
461,Acute sinusitis
913,Superficial injury of elbow forearm and wrist
226,Benign neoplasm of thyroid glands
617,Endometriosis
987,Toxic effect of other gases fumes or vapors
641,Antepartum hemorrhage abruptio placentae and placenta previa
298,Other nonorganic psychoses
790,Nonspecific findings on examination of blood
336,Other diseases of spinal cord
362,Other retinal disorders
228,Hemangioma and lymphangioma any site
513,Abscess of lung and mediastinum
383,Mastoiditis and related conditions
746,Other congenital anomalies of heart
353,Nerve root and plexus disorders
911,Superficial injury of trunk
506,Respiratory conditions due to chemical fumes and vapors
873,Other open wound of head
155,Malignant neoplasm of liver and intrahepatic bile ducts
860,Traumatic pneumothorax and hemothorax
534,Gastrojejunal ulcer
802,Fracture of face bones
141,Malignant neoplasm of tongue
V45,Other postprocedural states
396,Diseases of mitral and aortic valves
310,Specific nonpsychotic mental disorders due to brain damage
341,Other demyelinating diseases of central nervous system
242,Thyrotoxicosis with or without goiter
719,Other and unspecified disorders of joint
239,Neoplasms of unspecified nature
533,Peptic ulcer site unspecified
616,Inflammatory disease of cervix vagina and vulva
519,Other diseases of respiratory system
301,Personality disorders
V66,Convalescence and palliative care
989,Toxic effect of other substances chiefly nonmedicinal as to source
230,Carcinoma in situ of digestive organs
385,Other disorders of middle ear and mastoid
300,"Anxiety, dissociative and somatoform disorders"
853,Other and unspecified intracranial hemorrhage following injury
871,Open wound of eyeball
570,Acute and subacute necrosis of liver
848,Other and ill-defined sprains and strains
463,Acute tonsillitis
934,Foreign body in trachea bronchus and lung
250.21,DMI hprsm nt st uncntrld
236,Neoplasm of uncertain behavior of genitourinary organs
361,Retinal detachments and defects
594,Calculus of lower urinary tract
501,Asbestosis
810,Fracture of clavicle
643,Excessive vomiting in pregnancy
430,Subarachnoid hemorrhage
528,Diseases of the oral soft tissues excluding lesions specific for gingiva and tongue
205,Myeloid leukemia
791,Nonspecific findings on examination of urine
983,Toxic effect of corrosive aromatics acids and caustic alkalis
992,Effects of heat and light
490,"Bronchitis, not specified as acute or chronic"
172,Malignant melanoma of skin
171,Malignant neoplasm of connective and other soft tissue
622,Noninflammatory disorders of cervix
306,Physiological malfunction arising from mental factors
863,Injury to gastrointestinal tract
864,Injury to liver
474,Chronic disease of tonsils and adenoids
660,Obstructed labor
759,Other and unspecified congenital anomalies
356,Hereditary and idiopathic peripheral neuropathy
634,Spontaneous abortion
967,Poisoning by sedatives and hypnotics
551,Other hernia of abdominal cavity with gangrene
695,Erythematous conditions
187,Malignant neoplasm of penis and other male genital organs
732,Osteochondropathies
747,Other congenital anomalies of circulatory system
323,Encephalitis myelitis and encephalomyelitis
308,Acute reaction to stress
370,Keratitis
252,Disorders of parathyroid gland
152,Malignant neoplasm of small intestine including duodenum
846,Sprains and strains of sacroiliac region
164,Malignant neoplasm of thymus heart and mediastinum
365,Glaucoma
718,Other derangement of joint
266,Deficiency of b-complex components
720,Ankylosing spondylitis and other inflammatory spondylopathies
344,Other paralytic syndromes
797,Senility without mention of psychosis
170,Malignant neoplasm of bone and articular cartilage
878,Open wound of genital organs (external) including traumatic amputation
904,Injury to blood vessels of lower extremity and unspecified sites
V56,Encounter for dialysis and dialysis catheter care
882,Open wound of hand except finger(s) alone
843,Sprains and strains of hip and thigh
709,Other disorders of skin and subcutaneous tissue
973,Poisoning by agents primarily affecting the gastrointestinal system
454,Varicose veins of lower extremities
686,Other local infections of skin and subcutaneous tissue
939,Foreign body in genitourinary tract
487,Influenza
229,Benign neoplasm of other and unspecified sites
