code,description
991,Effects of reduced temperature
483,Pneumonia due to other specified organism
357,Inflammatory and toxic neuropathy
692,Contact dermatitis and other eczema
796,Other nonspecific abnormal findings
693,Dermatitis due to substances taken internally
935,Foreign body in mouth esophagus and stomach
936,Foreign body in intestine and colon
800,Fracture of vault of skull
920,"Contusion of face, scalp, and neck except eye(s)"
V26,Procreative management
261,Nutritional marasmus
307,Special symptoms or syndromes not elsewhere classified
262,Other severe protein-calorie malnutrition
250.9,Diabetes with unspecified complication
831,Dislocation of shoulder
145,Malignant neoplasm of other and unspecified parts of mouth
223,Benign neoplasm of kidney and other urinary organs
V71,Observation and evaluation for suspected conditions not found
839,Other multiple and ill-defined dislocations
685,Pilonidal cyst
V54,Other orthopedic aftercare
179,"Malignant neoplasm of uterus, part unspecified"
964,Poisoning by agents primarily affecting blood constituents
136,Other and unspecified infectious and parasitic diseases
324,Intracranial and intraspinal abscess
389,Hearing loss
815,Fracture of metacarpal bone(s)
334,Spinocerebellar disease
143,Malignant neoplasm of gum
526,Diseases of the jaws
588,Disorders resulting from impaired renal function
192,Malignant neoplasm of other and unspecified parts of nervous system
V67,Follow-up examination
394,Diseases of mitral valve
917,Superficial injury of foot and toe(s)
219,Other benign neoplasm of uterus
325,Phlebitis and thrombophlebitis of intracranial venous sinuses
792,Nonspecific abnormal findings in other body substances
717,Internal derangement of knee
994,Effects of other external causes
990,"Effects of radiation, unspecified"
793,Nonspecific (abnormal) findings on radiological and other examination of body structure
207,Other specified leukemia
637,Unspecified abortion
195,Malignant neoplasm of other and ill-defined sites
373,Inflammation of eyelids
847,Sprains and strains of other and unspecified parts of back
827,Other multiple and ill-defined fractures of lower limb
891,Open wound of knee leg (except thigh) and ankle
814,Fracture of carpal bone(s)
V60,Housing household and economic circumstances
703,Diseases of nail
865,Injury to spleen
352,Disorders of other cranial nerves
627,Menopausal and postmenopausal disorders
378,Strabismus and other disorders of binocular eye movements
342,Hemiplegia and hemiparesis
886,Traumatic amputation of other finger(s) (complete) (partial)
369,Blindness and low vision
745,Bulbus cordis anomalies and anomalies of cardiac septal closure
705,Disorders of sweat glands
816,Fracture of one or more phalanges of hand
541,"Appendicitis, unqualified"
986,Toxic effect of carbon monoxide
610,Benign mammary dysplasias
633,Ectopic pregnancy
640,Hemorrhage in early pregnancy
753,Congenital anomalies of urinary system
173,Oth and unspec malignant neoplasm of skin
835,Dislocation of hip
379,Other disorders of eye
445,Atheroembolism
272,Disorders of lipoid metabolism
382,Suppurative and unspecified otitis media
945,Burn of lower limb(s)
619,Fistula involving female genital tract
881,Open wound of elbow forearm and wrist
250.52,DMII ophth uncntrld
866,Injury to kidney
405,Secondary hypertension
916,Superficial injury of hip thigh leg and ankle
215,Other benign neoplasm of connective and other soft tissue
893,Open wound of toe(s)
671,Venous complications in pregnancy and the puerperium
928,Crushing injury of lower limb
906,Late effects of injuries to skin and subcutaneous tissues
897,Traumatic amputation of leg(s) (complete) (partial)
725,Polymyalgia rheumatica
867,Injury to pelvic organs
115,Histoplasmosis
890,Open wound of hip and thigh
734,Flat foot
521,Diseases of hard tissues of teeth
674,Other and unspecified complications of the puerperium not elsewhere classified
470,Deviated nasal septum
834,Dislocation of finger
146,Malignant neoplasm of oropharynx
696,Psoriasis and similar disorders
524,"Dentofacial anomalies, including malocclusion"
980,Toxic effect of alcohol
691,Atopic dermatitis and related conditions
384,Other disorders of tympanic membrane
142,Malignant neoplasm of major salivary glands
879,Open wound of other and unspecified sites except limbs
250.51,DMI ophth nt st uncntrld
246,Other disorders of thyroid
208,Leukemia of unspecified cell type
448,Disease of capillaries
955,Injury to peripheral nerve(s) of shoulder girdle and upper limb
653,Disproportion in pregnancy labor and delivery
149,Malignant neoplasm of other and ill-defined sites within the lip oral cavity and pharynx
245,Thyroiditis
735,Acquired deformities of toe
883,Open wound of finger(s)
854,Intracranial injury of other and unspecified nature
952,Spinal cord injury without evidence of spinal bone injury
838,Dislocation of foot
194,Malignant neoplasm of other endocrine glands and related structures
V43,Organ or tissue replaced by other means
163,Malignant neoplasm of pleura
216,Benign neoplasm of skin
147,Malignant neoplasm of nasopharynx
354,Mononeuritis of upper limb and mononeuritis multiplex
477,Allergic rhinitis
318,Other specified intellectual disabilities
880,Open wound of shoulder and upper arm
921,Contusion of eye and adnexa
377,Disorders of optic nerve and visual pathways
471,Nasal polyps
683,Acute lymphadenitis
175,Malignant neoplasm of male breast
602,Other disorders of prostate
250.91,DMI unspf nt st uncntrld
982,Toxic effect of solvents other than petroleum-based
706,Diseases of sebaceous glands
375,Disorders of lacrimal system
417,Other diseases of pulmonary circulation
131,Trichomoniasis
347,Cataplexy and narcolepsy
870,Open wound of ocular adnexa
148,Malignant neoplasm of hypopharynx
862,Injury to other and unspecified intrathoracic organs
817,Multiple fractures of hand bones
914,Superficial injury of hand(s) except finger(s) alone
360,Disorders of the globe
684,Impetigo
314,Hyperkinetic syndrome of childhood
V63,Unavailability of other medical facilities for care
240,Simple and unspecified goiter
915,Superficial injury of finger(s)
971,Poisoning by drugs primarily affecting the autonomic nervous system
795,"Other and nonspecific abnormal cytological, histological, immunological, and dna test findings"
988,Toxic effect of noxious substances eaten as food
452,Portal vein thrombosis
963,Poisoning by primarily systemic agents
327,Organic sleep disorders
731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere
842,Sprains and strains of wrist and hand
V25,Encounter for contraceptive management
645,Late pregnancy
665,Other obstetrical trauma
110,Dermatophytosis
944,Burn of wrist(s) and hand(s)
603,Hydrocele
923,Contusion of upper limb
412,Old myocardial infarction
363,Chorioretinal inflammations scars and other disorders of choroid
957,Injury to other and unspecified nerves
976,Poisoning by agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs
698,Pruritus and related conditions
299,Pervasive developmental disorders
700,Corns and callosities
273,Disorders of plasma protein metabolism
974,Poisoning by water mineral and uric acid metabolism drugs
529,Diseases and other conditions of the tongue
605,Redundant prepuce and phimosis
941,Burn of face head and neck
806,Fracture of vertebral column with spinal cord injury
271,Disorders of carbohydrate transport and metabolism
837,Dislocation of ankle
657,Polyhydramnios
895,Traumatic amputation of toe(s) (complete) (partial)
338,"Pain, not elsewhere classified"
523,Gingival and periodontal diseases
542,Other appendicitis
114,Coccidioidomycosis
543,Other diseases of appendix
372,Disorders of conjunctiva
V70,General medical examination
E909,Accident due to cataclysmic earth surface movements and eruptions
583,Nephritis and nephropathy not specified as acute or chronic
V07,Need for isolation and other prophylactic measures
422,Acute myocarditis
615,Inflammatory diseases of uterus except cervix
279,Disorders involving the immune mechanism
500,Coal workers' pneumoconiosis
903,Injury to blood vessels of upper extremity
919,Superficial injury of other multiple and unspecified sites
875,Open wound of chest (wall)
381,Nonsuppurative otitis media and eustachian tube disorders
804,Multiple fractures involving skull or face with other bones
704,Diseases of hair and hair follicles
649,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
832,Dislocation of elbow
133,Acariasis
975,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
833,Dislocation of wrist
391,Rheumatic fever with heart involvement
690,Erythematosquamous dermatosis
V51,Aftercare involving the use of plastic surgery
V15,Other personal history presenting hazards to health
V10,Personal history of malignant neoplasm
V42,Organ or tissue replaced by transplant
319,Unspecified intellectual disabilities
E878,Surgical operation and other surgical procedures as the cause of abnormal reaction of patient or of later complication without mention of misadventure at the time of operation
V44,Artificial opening status
V65,Other persons seeking consultation
V12,Personal history of certain other diseases
258,Polyglandular dysfunction and related disorders
E812,Other motor vehicle traffic accident involving collision with motor vehicle
E932,Hormones and synthetic substitutes causing adverse effects in therapeutic use
E888,Other and unspecified fall
E939,Psychotropic agents causing adverse effects in therapeutic use
910,Superficial injury of face neck and scalp except eye
E937,Sedatives and hypnotics causing adverse effects in therapeutic use
E944,Water mineral and uric acid metabolism drugs causing adverse effects in therapeutic use
E870,Accidental cut puncture perforation or hemorrhage during medical care
E849,Place of occurrence
V23,Supervision of high-risk pregnancy
E950,Suicide and self-inflicted poisoning by solid or liquid substances
317,Mild intellectual disabilities
E934,Agents primarily affecting blood constituents causing adverse effects in therapeutic use
E935,Analgesics antipyretics and antirheumatics causing adverse effects in therapeutic use
E915,Foreign body accidentally entering other orifice
V17,Family history of certain chronic disabling diseases
E885,Accidental fall on same level from slipping tripping or stumbling
484,Pneumonia in infectious diseases classified elsewhere
V72,Special investigations and examinations
138,Late effects of acute poliomyelitis
E880,Accidental fall on or from stairs or steps
343,Infantile cerebral palsy
E879,Other procedures without mention of misadventure at the time of procedure as the cause of abnormal reaction of patient or of later complication
V49,Other conditions influencing health status
E890,Conflagration in private dwelling
V18,Family history of certain other specific conditions
E817,Noncollision motor vehicle traffic accident while boarding or alighting
V14,Personal history of allergy to medicinal agents
758,Chromosomal anomalies
E931,Other anti-infectives causing adverse effects in therapeutic use
E924,Accident caused by hot substance or object caustic or corrosive material and steam
V46,Other dependence on machines and devices
V64,Persons encountering health services for specific procedures not carried out
E942,Agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use
V61,Other family circumstances
701,Other hypertrophic and atrophic conditions of skin
E947,Other and unspecified drugs and medicinal substances causing adverse effects in therapeutic use
872,Open wound of ear
905,Late effects of musculoskeletal and connective tissue injuries
E930,Antibiotics causing adverse effects in therapeutic use
752,Congenital anomalies of genital organs
E858,Accidental poisoning by other drugs
909,Late effects of other and unspecified external causes
918,Superficial injury of eye and adnexa
947,Burn of internal organs
520,Disorders of tooth development and eruption
V08,Asymptomatic human immunodeficiency virus [HIV] infection status
517,Lung involvement in conditions classified elsewhere
E929,Late effects of accidental injury
912,Superficial injury of shoulder and upper arm
E933,Primarily systemic agents causing adverse effects in therapeutic use
702,Other dermatoses
111,Dermatomycosis other and unspecified
259,Other endocrine disorders
V62,Other psychosocial circumstances
953,Injury to nerve roots and spinal plexus
E900,Accident caused by excessive heat
V09,Infection with drug-resistant microorganisms
E936,Anticonvulsants and anti-parkinsonism drugs causing adverse effects in therapeutic use
E941,Drugs primarily affecting the autonomic nervous system causing adverse effects in therapeutic use
712,Crystal arthropathies
741,Spina bifida
713,Arthropathy associated with other disorders classified elsewhere
E884,Other accidental falls from one level to another
755,Other congenital anomalies of limbs
E928,Other and unspecified environmental and accidental causes
742,Other congenital anomalies of nervous system
869,Internal injury to unspecified or ill-defined organs
V11,Personal history of mental disorder
907,Late effects of injuries to the nervous system
908,Late effects of other and unspecified injuries
472,Chronic pharyngitis and nasopharyngitis
811,Fracture of scapula
E965,Assault by firearms and explosives
E813,Motor vehicle traffic accident involving collision with other vehicle
137,Late effects of tuberculosis
754,Certain congenital musculoskeletal deformities
E814,Motor vehicle traffic accident involving collision with pedestrian
130,Toxoplasmosis
E927,Overexertion and strenuous movements
E905,Venomous animals and plants as the cause of poisoning and toxic reactions
E917,Striking against or struck accidentally by objects or persons
E868,Accidental poisoning by other utility gas and other carbon monoxide
E854,Accidental poisoning by other psychotropic agents
V16,Family history of malignant neoplasm
E918,Caught accidentally in or between objects
V13,Personal history of other diseases
E850,Accidental poisoning by analgesics antipyretics and antirheumatics
269,Other nutritional deficiencies
E887,"Fracture, cause unspecified"
E881,Accidental fall on or from ladders or scaffolding
232,Carcinoma in situ of skin
E829,Other road vehicle accidents
E919,Accidents caused by machinery
E916,Struck accidentally by falling object
316,Psychic factors associated with diseases classified elsewhere
V85,Body mass index (bmi)
V02,Carrier or suspected carrier of infectious diseases
748,Congenital anomalies of respiratory system
256,Ovarian dysfunction
186,Malignant neoplasm of testis
E819,Motor vehicle traffic accident of unspecified nature
E826,Pedal cycle accident
E938,Other central nervous system depressants and anesthetics causing adverse effects in therapeutic use
E816,Motor vehicle traffic accident due to loss of control without collision on the highway
948,Burns classified according to extent of body surface involved
E906,Other injury caused by animals
E818,Other noncollision motor vehicle traffic accident
E980,Poisoning by solid or liquid substances undetermined whether accidentally or purposely inflicted
750,Other congenital anomalies of upper alimentary tract
302,Sexual and gender identity disorders
V50,Elective surgery for purposes other than remedying health states
V03,Need for prophylactic vaccination and inoculation against bacterial diseases
E853,Accidental poisoning by tranquilizers
E968,Assault by other and unspecified means
E882,Accidental fall from or out of building or other structure
140,Malignant neoplasm of lip
E821,Nontraffic accident involving other off-road motor vehicle
V69,Problems related to lifestyle
670,Major puerperal infection
268,Vitamin d deficiency
894,Multiple and unspecified open wound of lower limb
260,Kwashiorkor
V86,Estrogen receptor status
E945,Agents primarily acting on the smooth and skeletal muscles and respiratory system causing adverse effects in therapeutic use
270,Disorders of amino-acid transport and metabolism
460,Acute nasopharyngitis [common cold]
364,Disorders of iris and ciliary body
E883,Accidental fall into hole or other opening in surface
123,Other cestode infection
884,Multiple and unspecified open wound of upper limb
927,Crushing injury of upper limb
V27,Outcome of delivery
525,Other diseases and conditions of the teeth and supporting structures
315,Specific delays in development
139,Late effects of other infectious and parasitic diseases
313,Disturbance of emotions specific to childhood and adolescence
E949,Other vaccines and biological substances causing adverse effects in therapeutic use
122,Echinococcosis
E920,Accidents caused by cutting and piercing instruments or objects
387,Otosclerosis
E956,Suicide and self-inflicted injury by cutting and piercing instrument
E904,Accident due to hunger thirst exposure and neglect
E943,Agents primarily affecting gastrointestinal system causing adverse effects in therapeutic use
E861,Accidental poisoning by cleansing and polishing agents disinfectants paints and varnishes
951,Injury to other cranial nerve(s)
697,Lichen
943,Burn of upper limb except wrist and hand
744,Congenital anomalies of ear face and neck
V22,Normal pregnancy
E852,Accidental poisoning by other sedatives and hypnotics
243,Congenital hypothyroidism
E876,Other and unspecified misadventures during medical care
956,Injury to peripheral nerve(s) of pelvic girdle and lower limb
E855,Accidental poisoning by other drugs acting on central and autonomic nervous system
265,Thiamine and niacin deficiency states
597,Urethritis not sexually transmitted and urethral syndrome
E815,Other motor vehicle traffic accident involving collision on the highway
E822,Other motor vehicle nontraffic accident involving collision with moving object
365.44,Glaucoma w systemic synd
E894,Ignition of highly inflammable material
930,Foreign body on external eye
132,Pediculosis and phthirus infestation
V01,Contact with or exposure to communicable diseases
E828,Accident involving animal being ridden
E865,Accidental poisoning from foodstuffs and poisonous plants
E946,Agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs causing adverse effects in therapeutic use
E966,Assault by cutting and piercing instrument
E922,Accident caused by firearm and air gun missile
757,Congenital anomalies of the integument
E901,Accidents due to excessive cold
E892,Conflagration not in building or structure
E886,"Fall on same level from collision, pushing, or shoving, by or with other person"
624,Noninflammatory disorders of vulva and perineum
E987,Falling from high place undetermined whether accidentally or purposely inflicted
841,Sprains and strains of elbow and forearm
E912,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
E955,Suicide and self-inflicted injury by firearms air guns and explosives
V06,Need for prophylactic vaccination and inoculation against combinations of diseases
E864,Accidental poisoning by corrosives and caustics not elsewhere classified
877,Open wound of buttock
E825,Other motor vehicle nontraffic accident of other and unspecified nature
538,Gastrointestinal mucositis (ulcerative)
876,Open wound of back
